tid,player_name,tournament_name,start_date,month,matches,wins,draws,losses,points_match,win_rate,opp_win_rate,event_rank,event_points,event_players
liga-2x2-presencial-s1-e08,Guga & Nobru,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,1,0,2,3,0.3333333333333333,0.4444444444444444,7,1,8
liga-2x2-presencial-s1-e08,Manfrinato & Melissa,Liga 2x2 presencial S1-E08,2026-03-21,2026-03,3,0,0,3,0,0.0,0.5555555555555555,8,1,8
liga-2x2-presencial-s1-e09,Arthur Castanhari & Murilo Oyafuso,Liga 2x2 presencial S1-E09,2026-03-28,2026-03,3,3,0,0,9,1.0,0.16666666666666666,1,3,5
liga-2x2-presencial-s1-e09,Jorel & Martin,Liga 2x2 presencial S1-E09,2026-03-28,2026-03,2,1,0,1,6,0.5,0.5,2,2,5
liga-2x2-presencial-s1-e09,Matheus & Romano,Liga 2x2 presencial S1-E09,2026-03-28,2026-03,3,0,2,1,2,0.0,0.16666666666666666,5,1,5
liga-2x2-presencial-s1-e09,Anthony & Oscar,Liga 2x2 presencial S1-E09,2026-03-28,2026-03,2,0,1,1,4,0.0,0.5,3,2,5
liga-2x2-presencial-s1-e09,Metusa & Rudzzt,Liga 2x2 presencial S1-E09,2026-03-28,2026-03,2,0,1,1,4,0.0,0.5,4,2,5
liga-2x2-presencial-s2-e1,Jorel & Martin,Liga 2x2 presencial S2-E1,2026-04-04,2026-04,3,3,0,0,9,1.0,0.4444444444444444,1,3,8
liga-2x2-presencial-s2-e1,Melk & Sônia,Liga 2x2 presencial S2-E1,2026-04-04,2026-04,3,2,0,1,6,0.6666666666666666,0.5555555555555555,2,2,8
liga-2x2-presencial-s2-e1,Cheury & Zangalli,Liga 2x2 presencial S2-E1,2026-04-04,2026-04,3,2,0,1,6,0.6666666666666666,0.4444444444444444,3,2,8
liga-2x2-presencial-s2-e1,Johann & Matheus,Liga 2x2 presencial S2-E1,2026-04-04,2026-04,3,1,1,1,4,0.3333333333333333,0.2222222222222222,4,2,8
liga-2x2-presencial-s2-e1,Metusa & Rudzzt,Liga 2x2 presencial S2-E1,2026-04-04,2026-04,3,1,0,2,3,0.3333333333333333,0.5555555555555555,5,1,8
liga-2x2-presencial-s2-e1,Oscar & Vini,Liga 2x2 presencial S2-E1,2026-04-04,2026-04,3,1,0,2,3,0.3333333333333333,0.3333333333333333,6,1,8
liga-2x2-presencial-s2-e1,Berka & Nobru,Liga 2x2 presencial S2-E1,2026-04-04,2026-04,3,0,2,1,2,0.0,0.3333333333333333,7,1,8
liga-2x2-presencial-s2-e1,André & Theo,Liga 2x2 presencial S2-E1,2026-04-04,2026-04,3,0,1,2,1,0.0,0.4444444444444444,8,1,8
liga-2x2-presencial-s2-e2,Metusa & Rudzzt,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,3,2,1,0,7,0.6666666666666666,0.611111111111111,1,3,9
liga-2x2-presencial-s2-e2,Arthur Castanhari & Murilo Oyafuso,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,3,2,1,0,7,0.6666666666666666,0.4444444444444444,2,2,9
liga-2x2-presencial-s2-e2,Jorel & Martin,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,3,2,0,1,6,0.6666666666666666,0.3333333333333333,4,2,9
liga-2x2-presencial-s2-e2,Melk & Nobru,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,3,2,0,1,6,0.6666666666666666,0.2222222222222222,5,1,9
liga-2x2-presencial-s2-e2,Eduardo & Luís Zangalli,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,3,1,1,1,4,0.3333333333333333,0.2222222222222222,6,1,9
liga-2x2-presencial-s2-e2,Carlos Kit & Gustavo Dias,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,2,1,0,1,6,0.5,0.3333333333333333,3,2,9
liga-2x2-presencial-s2-e2,Oscar & Vini,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,3,0,1,2,1,0.0,0.5,9,1,9
liga-2x2-presencial-s2-e2,Ewerson & Gabriel,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,2,0,0,2,3,0.0,0.6666666666666666,7,1,9
liga-2x2-presencial-s2-e2,André & Matheus,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,2,0,0,2,3,0.0,0.5,8,1,9
liga-2x2-presencial-s2-e3,Melk & Sônia,Liga 2x2 presencial S2-E3,2026-04-25,2026-04,3,3,0,0,9,1.0,0.3333333333333333,1,3,8
liga-2x2-presencial-s2-e3,Gustavo Dias & Gustavo taverna,Liga 2x2 presencial S2-E3,2026-04-25,2026-04,3,2,0,1,6,0.6666666666666666,0.2222222222222222,2,2,8
liga-2x2-presencial-s2-e3,Banshee & Martin,Liga 2x2 presencial S2-E3,2026-04-25,2026-04,3,1,1,1,4,0.3333333333333333,0.6666666666666666,3,2,8
liga-2x2-presencial-s2-e3,Furiatti & Nakamura,Liga 2x2 presencial S2-E3,2026-04-25,2026-04,3,1,1,1,4,0.3333333333333333,0.5555555555555555,4,2,8
liga-2x2-presencial-s2-e3,Fabi & João Marmentini,Liga 2x2 presencial S2-E3,2026-04-25,2026-04,3,1,1,1,4,0.3333333333333333,0.4444444444444444,5,1,8
liga-2x2-presencial-s2-e3,Metusa & Rudzzt,Liga 2x2 presencial S2-E3,2026-04-25,2026-04,3,1,1,1,4,0.3333333333333333,0.4444444444444444,6,1,8
liga-2x2-presencial-s2-e3,Oscar & Vini,Liga 2x2 presencial S2-E3,2026-04-25,2026-04,3,1,0,2,3,0.3333333333333333,0.2222222222222222,7,1,8
liga-2x2-presencial-s2-e3,Matheus & Romano,Liga 2x2 presencial S2-E3,2026-04-25,2026-04,3,0,0,3,0,0.0,0.4444444444444444,8,1,8
liga-2x2-presencial-s2-e4,Banshee & Jorel,Liga 2x2 presencial S2-E4,2026-05-02,2026-05,3,2,1,0,7,0.6666666666666666,0.3333333333333333,1,3,6
liga-2x2-presencial-s2-e4,Melk & Sônia,Liga 2x2 presencial S2-E4,2026-05-02,2026-05,3,1,1,1,4,0.3333333333333333,0.4444444444444444,2,2,6
liga-2x2-presencial-s2-e4,Beck & Matheus,Liga 2x2 presencial S2-E4,2026-05-02,2026-05,3,1,1,1,4,0.3333333333333333,0.3333333333333333,4,2,6
