tid,tournament_name,start_date,month,raw_team,team_name,team_key,player_1,player_2,deck_1,deck_2,deck_url_1,deck_url_2,deck_name_pt_1,deck_name_pt_2,deck_name_en_1,deck_name_en_2,colecao_1,colecao_2,map_status,missing_players,missing_decks
liga-2x2-presencial-s2-e1,Liga 2x2 presencial S2-E1,2026-04-04,2026-04,Oscar e Vini,Oscar & Vini,oscar & vini,Oscar,Vini,Temur Roar,Veloci-E-Rápido,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,https://moxfield.com/decks/KcPWaLquLkmIOy3XsFHTqQ,Temur Roar,Veloci-E-Rápido,Temur Roar,Veloci-Ramp-Tor,Tarkir Dragonstorm,The Lost Caverns of Ixalan,manual,0,0
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,André & Matheus,André & Matheus,andre & matheus,André,Matheus,Creative Energy,Cavaleiros de Rohan,https://moxfield.com/decks/V896XG46-kuKTCBXImt5Cg,https://moxfield.com/decks/hi-cA6GBykKPYJ9xW0g_KQ,Creative Energy,Cavaleiros de Rohan,Creative Energy,Riders of Rohan,Modern Horizons 3,The Lord Of The Rings: Tales Of Middle-Earth,manual,0,0
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,Murilo Oyafuso & Arthur Castanhari,Arthur Castanhari & Murilo Oyafuso,arthur castanhari & murilo oyafuso,Murilo Oyafuso,Arthur Castanhari,Scions & Spellcraft,Cacofonia dos Cabaretti,https://moxfield.com/decks/r_IFt9Gc3UqaULfoAEjVvg,https://moxfield.com/decks/GyEvLRf31UqSk08E5aM4AA,Scions & Spellcraft,Cacofonia dos Cabaretti,Scions & Spellcraft,Cabaretti Cacophony,Final Fantasy,Streets of New Capenna,manual,0,0
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,Carlos Kit & Gustavo Dias,Carlos Kit & Gustavo Dias,carlos kit & gustavo dias,Carlos Kit,Gustavo Dias,Angels: They're Just Like Us but Cooler and With Wings,Temur Roar,https://moxfield.com/decks/Q3Wn5qhG0UWFaGIYEpmRjQ,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,Angels: They're Just Like Us but Cooler and With Wings,Temur Roar,Angels: They're Just Like Us but Cooler and With Wings,Temur Roar,Secret Lair Commander Deck,Tarkir Dragonstorm,manual,0,0
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,Eduardo & Luís Zangalli,Eduardo & Luís Zangalli,eduardo & luis zangalli,Eduardo,Luís Zangalli,,,,,,,,,,,manual,0,1
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,Ewerson & Gabriel,Ewerson & Gabriel,ewerson & gabriel,Ewerson,Gabriel,,,,,,,,,,,manual,0,1
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,Jorel & Martin,Jorel & Martin,jorel & martin,Jorel,Martin,Turtle Power!,Counter Blitz,https://moxfield.com/decks/igKb7qATmkmYaX3M7hB4Sg,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,Turtle Power!,Counter Blitz,Turtle Power!,Counter Blitz,Teenage Mutant Ninja Turtles,Final Fantasy,manual,0,0
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,Nobru & Melk,Melk & Nobru,melk & nobru,Nobru,Melk,Devorarrrdores de Mentes,,https://moxfield.com/decks/fmt6yaMreU2LXsLELVt7xw,,Devorarrrdores de Mentes,,Mind Flayarrrs,,Commander Legends: Battle for Baldur's Gate,,manual,0,1
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,Metusalem & Ruddzt,Metusa & Rudzzt,metusa & rudzzt,Metusa,Rudzzt,Quandrix Quântica,Jump Scare!,https://moxfield.com/decks/PZE0uF5pckKFccZKFvp1mg,https://moxfield.com/decks/XzGgdXc-TE-qFr4lzmGl6Q,Quandrix Quântica,Jump Scare!,Quantum Quandrix,Jump Scare!,Commander 2021 - Strixhaven,Duskmourn: House of Horror,manual,0,0
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,2026-04,Oscar & Vini,Oscar & Vini,oscar & vini,Oscar,Vini,Temur Roar,Veloci-E-Rápido,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,https://moxfield.com/decks/KcPWaLquLkmIOy3XsFHTqQ,Temur Roar,Veloci-E-Rápido,Temur Roar,Veloci-Ramp-Tor,Tarkir Dragonstorm,The Lost Caverns of Ixalan,manual,0,0
