tid,tournament_name,start_date,event_day,month,round,table,player_id,player_name,player_deck,opponent_id,opponent_name,opponent_deck,result
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,3,XFnj6iHRxlA9M4LynmFv#2,Jorel,Endless Punishment,rsVhe5vz4jEHBziw1Y0v#1,Juliano,Içar Velas,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,3,XFnj6iHRxlA9M4LynmFv#2,Jorel,Endless Punishment,XFnj6iHRxlA9M4LynmFv#1,Martin,Jeskai Striker,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,3,XFnj6iHRxlA9M4LynmFv#2,Jorel,Endless Punishment,rsVhe5vz4jEHBziw1Y0v#2,Mateus,Virtude e Valor,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,3,rsVhe5vz4jEHBziw1Y0v#1,Juliano,Içar Velas,XFnj6iHRxlA9M4LynmFv#2,Jorel,Endless Punishment,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,3,rsVhe5vz4jEHBziw1Y0v#1,Juliano,Içar Velas,XFnj6iHRxlA9M4LynmFv#1,Martin,Jeskai Striker,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,3,rsVhe5vz4jEHBziw1Y0v#1,Juliano,Içar Velas,rsVhe5vz4jEHBziw1Y0v#2,Mateus,Virtude e Valor,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,3,XFnj6iHRxlA9M4LynmFv#1,Martin,Jeskai Striker,XFnj6iHRxlA9M4LynmFv#2,Jorel,Endless Punishment,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,3,XFnj6iHRxlA9M4LynmFv#1,Martin,Jeskai Striker,rsVhe5vz4jEHBziw1Y0v#1,Juliano,Içar Velas,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,3,XFnj6iHRxlA9M4LynmFv#1,Martin,Jeskai Striker,rsVhe5vz4jEHBziw1Y0v#2,Mateus,Virtude e Valor,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,3,rsVhe5vz4jEHBziw1Y0v#2,Mateus,Virtude e Valor,XFnj6iHRxlA9M4LynmFv#2,Jorel,Endless Punishment,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,3,rsVhe5vz4jEHBziw1Y0v#2,Mateus,Virtude e Valor,rsVhe5vz4jEHBziw1Y0v#1,Juliano,Içar Velas,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,3,rsVhe5vz4jEHBziw1Y0v#2,Mateus,Virtude e Valor,XFnj6iHRxlA9M4LynmFv#1,Martin,Jeskai Striker,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,4,X5LrLopnvGARQgwpYJEb#2,Erick,Dance of the Elements,X5LrLopnvGARQgwpYJEb#1,Glauber,Levante Entrópico,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,4,X5LrLopnvGARQgwpYJEb#2,Erick,Dance of the Elements,j2QCbi8rckQctKFUxHEn#1,Samuel,,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,4,X5LrLopnvGARQgwpYJEb#2,Erick,Dance of the Elements,j2QCbi8rckQctKFUxHEn#2,Thiago,,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,4,X5LrLopnvGARQgwpYJEb#1,Glauber,Levante Entrópico,X5LrLopnvGARQgwpYJEb#2,Erick,Dance of the Elements,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,4,X5LrLopnvGARQgwpYJEb#1,Glauber,Levante Entrópico,j2QCbi8rckQctKFUxHEn#1,Samuel,,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,4,X5LrLopnvGARQgwpYJEb#1,Glauber,Levante Entrópico,j2QCbi8rckQctKFUxHEn#2,Thiago,,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,4,j2QCbi8rckQctKFUxHEn#1,Samuel,,X5LrLopnvGARQgwpYJEb#2,Erick,Dance of the Elements,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,4,j2QCbi8rckQctKFUxHEn#1,Samuel,,X5LrLopnvGARQgwpYJEb#1,Glauber,Levante Entrópico,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,4,j2QCbi8rckQctKFUxHEn#1,Samuel,,j2QCbi8rckQctKFUxHEn#2,Thiago,,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,4,j2QCbi8rckQctKFUxHEn#2,Thiago,,X5LrLopnvGARQgwpYJEb#2,Erick,Dance of the Elements,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,4,j2QCbi8rckQctKFUxHEn#2,Thiago,,X5LrLopnvGARQgwpYJEb#1,Glauber,Levante Entrópico,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,4,j2QCbi8rckQctKFUxHEn#2,Thiago,,j2QCbi8rckQctKFUxHEn#1,Samuel,,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,5,cK00lRZ181cMm1O6Qll4#2,Bauer,Influência Corruptora,1zFIu3Ek4VIawnKRq54V#1,Chueiry,Temur Roar,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,5,cK00lRZ181cMm1O6Qll4#2,Bauer,Influência Corruptora,cK00lRZ181cMm1O6Qll4#1,Marcos Sartori,Counter Blitz,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,5,cK00lRZ181cMm1O6Qll4#2,Bauer,Influência Corruptora,1zFIu3Ek4VIawnKRq54V#2,Vicente,Angels: They're Just Like Us but Cooler and With Wings,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,5,1zFIu3Ek4VIawnKRq54V#1,Chueiry,Temur Roar,cK00lRZ181cMm1O6Qll4#2,Bauer,Influência Corruptora,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,5,1zFIu3Ek4VIawnKRq54V#1,Chueiry,Temur Roar,cK00lRZ181cMm1O6Qll4#1,Marcos Sartori,Counter Blitz,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,5,1zFIu3Ek4VIawnKRq54V#1,Chueiry,Temur Roar,1zFIu3Ek4VIawnKRq54V#2,Vicente,Angels: They're Just Like Us but Cooler and With Wings,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,5,cK00lRZ181cMm1O6Qll4#1,Marcos Sartori,Counter Blitz,cK00lRZ181cMm1O6Qll4#2,Bauer,Influência Corruptora,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,5,cK00lRZ181cMm1O6Qll4#1,Marcos Sartori,Counter Blitz,1zFIu3Ek4VIawnKRq54V#1,Chueiry,Temur Roar,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,5,cK00lRZ181cMm1O6Qll4#1,Marcos Sartori,Counter Blitz,1zFIu3Ek4VIawnKRq54V#2,Vicente,Angels: They're Just Like Us but Cooler and With Wings,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,5,1zFIu3Ek4VIawnKRq54V#2,Vicente,Angels: They're Just Like Us but Cooler and With Wings,cK00lRZ181cMm1O6Qll4#2,Bauer,Influência Corruptora,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,5,1zFIu3Ek4VIawnKRq54V#2,Vicente,Angels: They're Just Like Us but Cooler and With Wings,1zFIu3Ek4VIawnKRq54V#1,Chueiry,Temur Roar,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,1,5,1zFIu3Ek4VIawnKRq54V#2,Vicente,Angels: They're Just Like Us but Cooler and With Wings,cK00lRZ181cMm1O6Qll4#1,Marcos Sartori,Counter Blitz,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,1,rxCHpUnI6BhF3aqnDJUX#2,Andressa,Counter Blitz,rxCHpUnI6BhF3aqnDJUX#1,Carbeauty,Blight Curse,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,1,rxCHpUnI6BhF3aqnDJUX#2,Andressa,Counter Blitz,rsVhe5vz4jEHBziw1Y0v#1,Juliano,Içar Velas,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,1,rxCHpUnI6BhF3aqnDJUX#2,Andressa,Counter Blitz,rsVhe5vz4jEHBziw1Y0v#2,Mateus,Virtude e Valor,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,1,rxCHpUnI6BhF3aqnDJUX#1,Carbeauty,Blight Curse,rxCHpUnI6BhF3aqnDJUX#2,Andressa,Counter Blitz,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,1,rxCHpUnI6BhF3aqnDJUX#1,Carbeauty,Blight Curse,rsVhe5vz4jEHBziw1Y0v#1,Juliano,Içar Velas,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,1,rxCHpUnI6BhF3aqnDJUX#1,Carbeauty,Blight Curse,rsVhe5vz4jEHBziw1Y0v#2,Mateus,Virtude e Valor,win
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,1,rsVhe5vz4jEHBziw1Y0v#1,Juliano,Içar Velas,rxCHpUnI6BhF3aqnDJUX#2,Andressa,Counter Blitz,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,1,rsVhe5vz4jEHBziw1Y0v#1,Juliano,Içar Velas,rxCHpUnI6BhF3aqnDJUX#1,Carbeauty,Blight Curse,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,1,rsVhe5vz4jEHBziw1Y0v#1,Juliano,Içar Velas,rsVhe5vz4jEHBziw1Y0v#2,Mateus,Virtude e Valor,lose
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01-29,2026-01,2,1,rsVhe5vz4jEHBziw1Y0v#2,Mateus,Virtude e Valor,rxCHpUnI6BhF3aqnDJUX#2,Andressa,Counter Blitz,lose
